timestamps,data,event,trial
6574702.279072,1.0,right_lick_time,0.0
6574706.7184,,goCue_start_time,0.0
6574706.946784,1.0,right_lick_time,0.0
6574707.136928,1.0,right_lick_time,0.0
6574707.31056,1.0,right_lick_time,0.0
6574710.823264,1.0,right_lick_time,1.0
6574713.398304,,goCue_start_time,1.0
6574713.654464,1.0,right_lick_time,1.0
6574713.769248,1.0,right_lick_time,1.0
6574713.8808,1.0,right_lick_time,1.0
6574723.100416,1.0,right_lick_time,2.0
6574729.912544,1.0,right_lick_time,2.0
6574738.199488,1.0,right_lick_time,2.0
6574747.564224,,goCue_start_time,2.0
6574747.891616,1.0,left_lick_time,2.0
6574747.90048,1.0,left_reward_delivery_time,2.0
6574748.086336,1.0,left_lick_time,2.0
6574748.223424,1.0,left_lick_time,2.0
6574748.375424,1.0,left_lick_time,2.0
6574748.524768,1.0,left_lick_time,2.0
6574748.887776,1.0,left_lick_time,2.0
6574749.03776,1.0,left_lick_time,2.0
6574749.219808,1.0,left_lick_time,2.0
6574749.610528,1.0,left_lick_time,2.0
6574749.776928,1.0,left_lick_time,2.0
6574752.915488,1.0,left_lick_time,3.0
6574755.415136,,goCue_start_time,3.0
6574755.572832,1.0,left_lick_time,3.0
6574755.768192,1.0,left_lick_time,3.0
6574761.9824,,goCue_start_time,4.0
6574762.148128,1.0,left_lick_time,4.0
6574762.26864,1.0,left_lick_time,4.0
6574762.462592,1.0,left_lick_time,4.0
6574768.481312,,goCue_start_time,5.0
6574768.81856,1.0,left_lick_time,5.0
6574768.94496,1.0,left_lick_time,5.0
6574775.281216,,goCue_start_time,6.0
6574775.470656,1.0,left_lick_time,6.0
6574780.021824,1.0,right_lick_time,7.0
6574780.183904,1.0,right_lick_time,7.0
6574785.403424,,goCue_start_time,7.0
6574785.582624,1.0,left_lick_time,7.0
6574793.849344,,goCue_start_time,8.0
6574794.04112,1.0,left_lick_time,8.0
6574794.20384,1.0,right_lick_time,8.0
6574794.4192,1.0,right_lick_time,8.0
6574794.61936,1.0,right_lick_time,8.0
6574796.557056,1.0,right_lick_time,9.0
6574796.76512,1.0,right_lick_time,9.0
6574803.71408,1.0,left_lick_time,9.0
6574813.198432,,goCue_start_time,9.0
